onset,offset,pitch,label
0.206349206,,36,
0.436825397,,42,
0.669206349,,38,
1.131428571,,42,
1.238095238,,42,
1.350476190,,42,
1.582857143,,36,
1.813333333,,42,
2.266666667,,36,
2.478730159,,38,
2.721904762,,42,
3.184126984,,36,
3.416507937,,42,
3.533968254,,42,
3.647619048,,38,
3.871428571,,36,
4.103401361,,42,
4.333061224,,36,
4.566938776,,42,
4.793877551,,42,
5.018730159,,36,
5.248571429,,36,
5.478639456,,42,
5.699591837,,42,
5.934875283,,36,
6.163809524,,38,
6.621496599,,36,
6.851700680,,36,
7.081632653,,42,
7.310657596,,42,
7.539682540,,36,
7.764126984,,42,
8.000181406,,38,
8.227437642,,42,
8.437551020,,42,
8.912471655,,36,
9.364625850,,42,
9.598185941,,36,
9.827755102,,38,
10.050068027,,42,
10.280000000,,42,
10.511428571,,36,
10.747619048,,42,
10.964126984,,38,
